"user","window_start_utc","window_end_utc","satellites","point_id","lat","lon","required_interval_hours"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.84442|116.35977|21","-31.84442","116.35977","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.8533|116.32874|22","-31.8533","116.32874","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.84815|116.34673|23","-31.84815","116.34673","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.84989|116.34066|24","-31.84989","116.34066","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.84358|116.33829|25","-31.84358","116.33829","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.8418|116.34447|26","-31.8418","116.34447","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.84699|116.32635|27","-31.84699","116.32635","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84923|116.3623|28","-31.84923","116.3623","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-30.89297|117.53767|29","-30.89297","117.53767","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84|116.3912|30","-31.84","116.3912","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84415|116.38609|31","-31.84415","116.38609","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84334|116.38268|32","-31.84334","116.38268","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.845|116.38962|33","-31.845","116.38962","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84586|116.39324|34","-31.84586","116.39324","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84671|116.39679|35","-31.84671","116.39679","12"
